Date,Open,High,Low,Close,Volume,Adj Close
2014-08-29,83.09,84.35,82.93,84.15,362500,84.15
2014-08-28,83.14,83.75,82.84,83.03,387900,83.03
2014-08-27,82.44,82.61,81.78,82.36,339900,82.36
2014-08-26,81.30,82.10,80.93,81.73,678100,81.73
2014-08-25,80.97,80.97,80.06,80.69,317600,80.69
2014-08-22,81.15,81.64,80.68,81.09,419400,81.09
2014-08-21,81.74,82.18,80.99,81.54,808700,81.54
2014-08-20,83.50,84.10,82.90,83.29,282100,83.29
2014-08-19,84.32,84.32,83.44,83.61,337200,83.61
2014-08-18,84.36,84.71,83.84,84.59,319900,84.59
2014-08-15,83.94,84.95,83.62,84.60,540400,84.60
2014-08-14,85.38,86.24,84.59,85.01,399900,85.01
2014-08-13,85.92,85.96,84.96,85.21,375500,85.21
2014-08-12,85.40,86.32,85.08,85.73,495500,85.73
2014-08-11,85.12,85.75,84.97,85.49,394700,85.49
2014-08-08,84.59,86.09,84.50,84.80,500500,84.80
2014-08-07,85.72,85.98,84.65,85.15,655000,85.15
2014-08-06,86.06,86.92,86.06,86.30,532700,86.30
2014-08-05,85.20,85.81,84.13,85.41,404200,85.41
2014-08-04,85.32,85.79,84.50,85.21,403500,85.21
2014-08-01,85.61,86.19,85.01,85.86,495200,85.86
2014-07-31,86.58,86.86,85.80,86.14,318700,86.14
2014-07-30,87.54,87.98,86.57,87.25,517200,87.25
2014-07-29,88.74,89.18,87.70,87.72,399300,87.72
2014-07-28,87.58,88.75,87.42,88.55,380000,88.55
2014-07-25,85.84,87.55,85.58,87.37,459100,87.37
2014-07-24,86.17,86.33,85.45,85.78,477500,85.78
2014-07-23,86.91,87.35,86.11,86.32,349400,86.32
2014-07-22,87.65,88.25,86.88,87.27,291200,87.27
2014-07-21,87.82,88.10,86.63,87.61,310100,87.61
2014-07-18,86.53,87.56,85.88,87.43,386400,87.43
2014-07-17,86.84,87.94,86.48,87.67,751400,87.67
2014-07-16,87.04,87.97,86.84,87.39,679800,87.39
2014-07-15,87.49,88.22,85.09,85.29,551600,85.29
2014-07-14,86.92,87.88,86.21,86.75,602600,86.75
2014-07-11,87.04,89.60,86.84,89.34,742500,89.34
2014-07-10,88.96,89.89,86.75,87.04,1134600,87.04
2014-07-09,86.79,88.50,86.69,88.18,693200,88.18
2014-07-08,85.97,86.47,84.91,86.20,617000,86.20
2014-07-07,85.45,85.94,85.13,85.32,518300,85.32
2014-07-03,85.08,86.67,84.52,86.31,593400,86.31
2014-07-02,84.50,86.18,84.50,85.53,604400,85.53
2014-07-01,85.60,86.00,84.48,84.59,599300,84.59
2014-06-30,82.91,84.89,82.52,84.60,574400,84.60
2014-06-27,83.28,83.72,82.77,83.34,268700,83.34
2014-06-26,81.90,83.21,81.60,83.18,402500,83.18
2014-06-25,82.16,83.36,82.16,82.85,452500,82.85
2014-06-24,83.90,84.80,82.61,82.85,1057600,82.85
2014-06-23,82.36,84.63,82.24,84.62,870800,84.62
2014-06-20,81.70,82.53,81.52,82.25,763700,82.25
2014-06-19,79.88,82.94,79.88,82.39,1305300,82.39
2014-06-18,77.70,79.07,77.69,79.05,363200,79.05
