新台幣	 日圓	港幣	韓元	加拿大幣	人民幣	澳幣	歐元
35.036   	132.13	7.7983	1317.4	1.5978	8.2766	0.5157	0.9032
35.030   	131.77	7.7982	1312.7	1.5980	8.2766	0.5146	0.8992
34.995   	131.20	7.7981	1308.7	1.5956	8.2766	0.5202	0.8950
34.943   	130.75	7.7988	1302.0	1.5996	8.2767	0.5176	0.8937
35.038   	132.68	7.7989	1309.5	1.5961	8.2767	0.5240	0.8933
35.050   	132.65	7.7987	1311.9	1.5963	8.2766	0.5243	0.8912
35.025   	132.28	7.7987	1312.3	1.5985	8.2767	0.5224	0.8915
35.045   	132.35	7.7983	1315.5	1.5967	8.2766	0.5203	0.8926
35.027   	132.04	7.7984	1312.3	1.5949	8.2768	0.5187	0.8943
34.999   	131.21	7.7987	1316.9	1.5893	8.2767	0.5174	0.8826
35.000   	131.42	7.7988	1315.8	1.5988	8.2768	0.5155	0.8825
35.006   	131.91	7.7985	1317.3	1.6111	8.2767	0.5147	0.8809
35.025   	132.83	7.7985	1320.5	1.6147	8.2768	0.5145	0.8843
35.010   	132.38	7.7985	1320.4	1.6117	8.2767	0.5177	0.8839
35.061   	133.68	7.7990	1331.5	1.6088	8.2768	0.5194	0.8861
35.082   	133.90	7.7992	1331.2	1.6018	8.2767	0.5182	0.8781
35.076   	134.43	7.7996	1330.5	1.6031	8.2765	0.5200	0.8771
35.057   	134.70	7.7995	1327.6	1.6108	8.2767	0.5166	0.8656
35.015   	133.70	7.7995	1321.3	1.5996	8.2765	0.5162	0.8624
35.001   	133.10	7.7994	1313.6	1.5947	8.2767	0.5092	0.8656
34.985   	132.77	7.7994	1311.6	1.5880	8.2766	0.5066	0.8618
34.980   	132.93	7.7994	1314.4	1.5885	8.2765	0.5080	0.8584
35.004   	133.94	7.7994	1317.5	1.5905	8.2765	0.5091	0.8620
34.998   	133.39	7.7997	1317.8	1.5975	8.2766	0.5108	0.8708
34.993   	132.55	7.7993	1316.8	1.5973	8.2766	0.5092	0.8674
35.016   	133.91	7.7993	1316.7	1.6051	8.2765	0.5086	0.8677
35.029   	134.08	7.7993	1318.2	1.5996	8.2767	0.5092	0.8710
35.080   	133.67	7.7995	1320.2	1.5980	8.2766	0.5105	0.8735
35.101   	132.75	7.7992	1315.2	1.5895	8.2766	0.5176	0.8735
35.085   	132.66	7.7993	1316.6	1.5930	8.2766	0.5184	0.8709
35.095   	133.50	7.7993	1321.0	1.5896	8.2768	0.5193	0.8766
35.098   	133.12	7.7993	1320.0	1.5892	8.2770	0.5179	0.8698
35.097   	133.75	7.7993	1318.8	1.5907	8.2768	0.5162	0.8699
35.102   	134.32	7.7992	1322.0	1.5966	8.2766	0.5125	0.8755
35.090   	133.85	7.7992	1323.9	1.6010	8.2765	0.5138	0.8692
35.088   	134.05	7.7992	1325.4	1.6100	8.2765	0.5135	0.8640
35.112   	134.44	7.7991	1327.3	1.6087	8.2767	0.5154	0.8656
35.103   	133.62	7.7996	1323.8	1.5929	8.2765	0.5197	0.8652
35.090   	132.80	7.7996	1318.2	1.5910	8.2766	0.5202	0.8700
35.069   	132.38	7.7995	1316.4	1.5877	8.2767	0.5204	0.8723
35.030   	131.85	7.7994	1316.3	1.5813	8.2765	0.5224	0.8765
34.989   	129.35	7.7996	1314.5	1.5835	8.2766	0.5255	0.8823
34.947   	127.85	7.7995	1314.3	1.5865	8.2771	0.5231	0.8740
34.949   	129.05	7.7996	1317.0	1.5827	8.2771	0.5218	0.8757
34.947   	128.60	7.7996	1318.5	1.5865	8.2769	0.5206	0.8761
34.980   	129.35	7.7997	1320.5	1.5954	8.2767	0.5197	0.8763
34.975   	128.86	7.7997	1322.1	1.5905	8.2771	0.5239	0.8829
34.985   	129.08	7.7997	1322.8	1.5838	8.2774	0.5256	0.8826
