TSMC	TSMC¥»¯q¤ñ
4.04	25.04
3.82	23.72
3.75	23.28
3.71	22.99
3.33	20.64
3.66	22.69
4.44	34.56
4.11	31.99
4.41	15.15
5.45	18.76
4.47	15.4
4.58	15.77
4.26	12.91
3.65	11.07
3.61	9.62
3.69	9.85
3.32	8.86
3.37	8.98
3.26	8.69
4.47	11.94
4.51	8.4
4.63	8.62
4.03	7.5
4.39	8.17
4.27	7.01
4.23	6.95
4.67	7.35
4.51	7.1
4.51	7.1
4.99	7.85
5.63	8.86
7.5	11.81
9.5	14.95
15.11	29.76
18.96	37.35
19.7	38.8
16.76	38.06
11.93	27.08
14.68	33.61
13.7	31.37
14.38	32.91
20.43	46.78
19.82	45.38
17.43	39.92
14.86	22.71
12.83	19.67
14.1	21.61
11.11	17.04
11.93	18.08
12.2	23.36
14.19	24.23
12.83	21.91
15.18	25.93
15.99	27.31
18.8	32.1
19.97	43.5
21.15	56.8
27.83	74.85
25.01	67.27
30.42	81.82
30.08	68.46
32.67	58.23
33.46	59.64
37.63	68.16
45.74	82.86
45.29	82.04
46.19	83.67
43.94	48.99
46.02	51.31
42.79	47.71
37.23	48.66
39.42	41.38
29.31	30.77
28.73	30.15
26.23	20.16
23.01	17.68
30.92	23.76
26.38	20.27
25.94	19.93
26.67	20.5
26.23	16.48
26.89	16.98
27.73	17.51
26.89	21.4
19.62	15.62
25.63	20.4
30.67	39.04
36.76	46.79
36.76	46.79
34.45	43.85
40.54	51.6
36.76	116.67
35.92	114
31.59	100
23.46	74.26
23.18	43.02
19.09	35.43
21.6	36.61
23.46	39.76
19.79	33.54
22.16	37.56
19.51	33.07
19.65	33.31
22.2	45.96
24.85	51.44
26.48	54.81
29.79	61.46
33.83	62.04
33.58	61.57
33.83	62.04
32.06	38.02
32.06	38.02
33.32	39.52
32.06	38.02
30.29	25.75
29.03	18.91
28.27	18.42
28.48	18.33
25.24	16.25
27.66	14.97
25.48	13.79
25.77	13.86
27.83	12.78
29.72	13.65
30.6	14.05
32.36	14.86
30.31	13.92
30.54	13.07
33.48	14.63
35.62	15.1
34.4	14.58
34.91	15.65
34.46	15.45
33.62	15.07
38.47	17.98
40.41	18.88
41.06	19.18
39.37	18.4
41.51	19.4
44.03	18.02
38.99	13.64
41.05	13.77
38.52	12.92
40.84	12
41.96	12.33
42.87	12.6
46.04	12.72
47.44	13.11
47.37	13.09
48.71	13.46
47.72	13.18
48.29	13.96
47.93	15.57
53.14	16.53
48.72	15.15
47	15.83
47.45	15.98
47.82	16.44
45.42	15.62
46.47	15.98
44.9	15.44
46.17	15.88
47.3	15.28
50	15.66
49.17	14.2
48.72	14.07
45.25	12.41
47.43	12.64
42.27	11.27
38.65	10.21
32.85	8.66
35.75	9.43
32.37	8.45
36.19	9.44
41.39	13.18
44.45	14.15
48.63	21.12
44.04	19.13
50.38	20.67
50.64	22.17
55.17	24.16
51.32	22.47
52.26	22.97
55.17	24.25
52.6	23.12
50.29	22.11
52.6	17.88
52.86	17.97
51.49	12.86
51.83	12.95
56.11	13.33
52.97	11.11
55.75	11.7
56.47	11.87
57.01	10.69
63.85	11.97
68.61	12.87
63.4	11.89
63.49	11.91
65.83	11.73
68.97	12.1
67.73	11.39
67.54	11.36
65.1	11.25
65.67	11.35
69.04	13.31
69.98	13.49
71.11	13.71
73.64	14.2
76.08	14.67
79.64	16.39
81.43	16.76
79.83	16.79
76.27	16.04
78.79	15.98
81.03	15.72
87.35	16.94
86.28	14.73
96.01	16.4
94.35	16.11
98.73	16.86
101.65	16.3
97.76	15.68
106.51	17.08
106.51	16.49
107.97	16.72
102.5	15.44
100.5	14.3
100.5	14.3
109.5	15.58
105	14.73
105.5	14.8
105	14.73
108	14.88
118.5	16.32
118.5	16.32
119.5	15.77
126.5	16.69
