Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,15511.54,15628.78,14753.84,15424.59,114800,15424.59
2014-07-01,15179.64,15759.66,15101.49,15620.77,113900,15620.77
2014-06-02,14777.51,15442.67,14777.51,15162.10,134100,15162.10
2014-05-01,14341.09,14744.16,13964.43,14632.38,130200,14632.38
2014-04-01,14870.51,15164.39,13885.11,14304.11,122700,14304.11
2014-03-03,14666.93,15312.60,14203.21,14827.83,144200,14827.83
2014-02-03,14788.56,15094.54,13995.86,14841.07,186800,14841.07
2014-01-06,16147.54,16164.01,14764.57,14914.53,190500,14914.53
2013-12-02,15659.74,16320.22,15112.54,16291.31,158700,16291.31
2013-11-01,14403.07,15729.09,14026.17,15661.87,166700,15661.87
2013-10-01,14517.98,14799.28,13748.94,14327.94,141400,14327.94
2013-09-02,13438.07,14817.50,13407.53,14455.80,153200,14455.80
2013-08-01,13674.50,14466.16,13188.14,13388.86,150600,13388.86
2013-07-01,13746.72,14953.29,13562.70,13668.32,196800,13668.32
2013-06-03,13551.36,13724.44,12415.85,13677.32,249400,13677.32
2013-05-01,13837.72,15942.60,13555.66,13774.54,355700,13774.54
2013-04-01,12371.34,13983.87,11805.78,13860.86,307000,13860.86
2013-03-01,11464.71,12650.26,11464.71,12397.91,221600,12397.91
2013-02-01,11193.72,11662.52,11046.92,11559.36,290300,11559.36
2013-01-04,10604.50,11145.38,10398.61,11138.66,242700,11138.66
2012-12-03,9484.20,10433.63,9376.97,10395.18,191300,10395.18
2012-11-01,8931.71,9492.91,8619.45,9446.01,135500,9446.01
2012-10-01,8815.07,9075.59,8488.14,8928.29,130600,8928.29
2012-09-03,8836.61,9288.53,8646.03,8870.16,133600,8870.16
2012-08-01,8622.04,9222.87,8513.20,8839.91,117100,8839.91
2012-07-02,9103.79,9136.02,8328.02,8695.06,123600,8695.06
2012-06-01,8465.47,9044.04,8238.96,9006.78,128200,9006.78
2012-05-01,9471.66,9472.25,8455.13,8542.73,136900,8542.73
2012-04-02,10161.72,10190.35,9388.14,9520.89,135600,9520.89
2012-03-01,9771.34,10255.15,9509.10,10083.56,165600,10083.56
2012-02-01,8789.06,9866.41,8780.10,9723.24,173100,9723.24
2012-01-04,8549.54,8911.62,8349.33,8802.51,120600,8802.51
2011-12-01,8581.20,8729.81,8272.26,8455.35,102000,8455.35
2011-11-01,8880.75,8946.00,8135.79,8434.61,120100,8434.61
2011-10-03,8567.98,9152.39,8343.01,8988.39,125200,8988.39
2011-09-01,9017.01,9098.15,8359.70,8700.29,140600,8700.29
2011-08-01,9907.04,10040.13,8619.21,8955.20,154900,8955.20
2011-07-01,9878.69,10207.91,9824.34,9833.03,129800,9833.03
2011-06-01,9708.05,9849.69,9318.62,9816.09,137500,9816.09
2011-05-02,9964.39,10017.47,9406.04,9693.73,138500,9693.73
2011-04-01,9757.28,9849.74,9405.19,9849.74,157400,9849.74
2011-03-01,10676.24,10768.43,8227.63,9755.10,226300,9755.10
2011-02-01,10281.55,10891.60,10245.75,10624.09,166800,10624.09
2011-01-04,10352.19,10620.57,10182.57,10237.92,151600,10237.92
2010-12-01,9939.80,10394.22,9918.55,10228.92,130700,10228.92
2010-11-01,9166.85,10157.97,9123.62,9937.04,144500,9937.04
2010-10-01,9440.52,9716.92,9179.15,9202.45,154400,9202.45
2010-09-01,8833.32,9704.25,8796.45,9369.35,131200,9369.35
2010-08-02,9574.64,9750.88,8807.41,8824.06,121500,8824.06
2010-07-01,9296.86,9807.36,9091.70,9537.30,147800,9537.30
2010-06-01,9747.26,10251.90,9347.07,9382.64,122200,9382.64
2010-05-06,10847.90,10847.90,9395.29,9768.70,182700,9768.70
2010-04-01,11178.92,11408.17,10865.92,11057.40,144200,11057.40
2010-03-01,10128.73,11147.62,10116.86,11089.94,116000,11089.94
2010-02-01,10212.36,10449.75,9867.39,10126.03,136800,10126.03
2010-01-04,10609.34,10982.10,10198.04,10198.04,190400,10198.04
2009-12-01,9281.82,10707.51,9233.20,10546.44,165500,10546.44
2009-11-02,9903.77,9979.46,9076.41,9345.55,155000,9345.55
2009-10-01,10072.64,10397.69,9628.67,10034.74,156100,10034.74
2009-09-01,10453.37,10577.19,9971.05,10133.23,142400,10133.23
2009-08-03,10355.23,10767.00,10142.22,10492.53,146600,10492.53
2009-07-01,9889.34,10359.07,9050.33,10356.83,162500,10356.83
